ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
MORTON SCHOOL,Texas,483147003523,4831470,6-Small town,6-Small town,6-Small town,6-Small town,†,193,199,189,193,184,–,†,†,†,="0",="0",="0",†,1,="0",="0",1,92,98,104,109,16,21,18,22,84,80,67,61,15.80,19.00,†,22.00,22.00
MOSS EL,Texas,481020000480,4810200,6-Small town,6-Small town,6-Small town,6-Small town,†,246,261,281,252,241,–,†,†,†,1,2,2,1,="0",="0",="0",†,122,114,124,114,18,29,23,21,119,116,132,116,16.50,16.00,†,18.00,17.00
MOSS HAVEN EL,Texas,483702004142,4837020,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,521,539,494,486,455,–,†,†,†,4,4,1,†,20,12,12,15,10,7,5,5,63,85,39,26,424,431,437,440,30.60,31.00,†,21.00,19.00
MOTLEY COUNTY EL,Texas,483150003525,4831500,†,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,173,145,153,167,†,†,†,†,†,="0",="0",†,†,1,1,†,†,24,22,22,†,7,8,6,†,141,114,125,†,9.00,†,8.00,10.00
MOTLEY COUNTY SCHOOL,Texas,483150003526,4831500,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,274,84,130,125,118,–,†,†,†,="0",="0",="0",†,2,1,2,2,46,14,21,22,12,5,6,6,214,64,101,95,23.70,14.00,†,18.00,10.80
MOTLEY EL,Texas,483039003412,4830390,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,371,342,318,332,343,–,†,†,†,4,2,2,†,1,3,4,5,95,56,52,54,2,9,8,6,269,272,252,267,20.50,21.00,†,20.00,17.50
MOULTON EL,Texas,483156003527,4831560,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,176,181,175,175,148,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,26,26,23,22,2,4,2,2,148,151,150,151,12.70,13.00,†,10.00,10.00
MOULTON H S,Texas,483156003528,4831560,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,128,115,122,126,125,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,15,14,17,28,1,3,="0",†,112,98,105,98,11.20,11.00,†,14.00,12.50
MOUND EL,Texas,481218000717,4812180,6-Small town,6-Small town,6-Small town,6-Small town,†,692,669,663,644,655,–,†,†,†,="0",="0",="0",1,7,2,2,3,41,28,23,23,1,1,1,†,663,638,637,617,32.20,32.00,†,30.00,39.00
MOUNT AUBURN STEAM ACADEMY,Texas,481623001321,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,1040,958,940,813,933,–,†,†,†,5,3,3,6,1,3,1,1,854,786,777,655,134,125,127,104,46,41,32,47,59.70,60.00,†,34.00,48.00
MOUNT CALM ISD,Texas,483162003529,4831620,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,96,114,114,100,97,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,5,6,8,10,13,21,16,16,78,87,90,74,9.50,10.00,†,8.00,6.40
MOUNT PLEASANT H S,Texas,483176003535,4831760,6-Small town,6-Small town,6-Small town,6-Small town,†,1165,1165,1188,1162,1163,–,†,†,†,1,1,3,1,="0",1,2,2,114,91,71,41,197,212,227,246,853,860,885,872,78.90,79.00,†,81.00,81.90
MOUNT PLEASANT J H,Texas,483176003538,4831760,6-Small town,6-Small town,6-Small town,6-Small town,†,851,820,798,759,774,–,†,†,†,2,1,5,†,5,2,2,†,128,89,64,66,168,161,159,164,548,567,568,529,49.30,49.00,†,49.00,49.70
MOUNTAIN VALLEY MIDDLE,Texas,481473000973,4814730,†,†,†,6-Small town,†,†,†,†,241,220,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,17,†,†,†,†,†,†,†,224,†,†,†,17.00,18.80
MOUNTAIN VIEW,Texas,489956005257,4899560,†,†,6-Small town,6-Small town,†,†,†,239,287,257,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,42,49,†,†,119,136,†,†,78,102,†,†,†,="0.00",9.60
MOUNTAIN VIEW EL,Texas,482566006574,4825660,2-Midsize city,2-Midsize city,2-Midsize city,†,†,778,739,574,†,†,–,†,†,†,1,="0",2,†,47,46,28,†,92,91,130,†,193,175,125,†,445,427,289,†,41.60,42.00,†,†,†
MOUNTAIN VIEW H S,Texas,481443006667,4814430,1-Large city,1-Large city,†,†,†,616,482,†,†,†,–,†,†,†,="0",="0",†,†,1,="0",†,†,548,418,†,†,="0",="0",†,†,67,64,†,†,25.90,26.00,†,†,†
MOUNTAINVIEW EL,Texas,484428005047,4844280,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,476,500,473,449,450,–,†,†,†,="0",1,="0",†,1,="0",="0",1,43,38,29,21,137,178,166,154,295,283,278,273,31.90,32.00,†,30.00,24.10
MT ENTERPRISE EL,Texas,483165003530,4831650,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,189,197,191,190,183,–,†,†,†,="0",="0",2,†,="0",="0",="0",†,2,1,1,1,65,63,61,69,122,133,127,120,15.40,15.00,†,11.00,13.30
MT ENTERPRISE H S,Texas,483165003531,4831650,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,162,172,161,164,166,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,="0",="0",="0",†,59,55,56,57,103,117,105,107,13.20,13.00,†,15.00,12.30
MT HOUSTON EL,Texas,483306003680,4833060,†,†,1-Large city,1-Large city,†,†,†,461,515,469,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,87,93,†,†,329,369,†,†,45,53,†,†,†,33.00,31.00
MT VERNON EL,Texas,483177003540,4831770,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,426,410,418,413,591,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,30,24,23,21,38,44,48,38,357,342,347,354,24.00,24.00,†,23.00,30.10
MT VERNON H S,Texas,483177003541,4831770,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,283,299,290,325,310,–,†,†,†,="0",1,2,2,3,2,1,1,12,13,8,3,16,23,22,28,252,260,257,291,21.40,21.00,†,26.00,24.80
MT VERNON INT,Texas,483177006457,4831770,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,210,197,185,186,†,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,14,9,5,4,23,17,15,17,173,171,165,165,11.00,11.00,†,10.00,†
MT VERNON MIDDLE,Texas,483177003539,4831770,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,283,280,257,223,233,–,†,†,†,1,="0",="0",†,="0",="0",1,1,16,15,9,13,27,17,16,11,239,248,231,198,16.90,17.00,†,15.00,14.30
MUENSTER EL,Texas,483186003544,4831860,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,142,164,133,146,138,–,†,†,†,="0",="0",="0",†,="0",1,1,†,1,1,1,4,="0",="0",="0",†,162,162,131,142,11.00,10.00,†,7.00,8.00
MUENSTER H S,Texas,483186003545,4831860,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,209,211,256,255,273,–,†,†,†,1,1,2,2,1,="0",="0",†,="0",="0",1,2,="0",="0",="0",†,207,210,253,251,14.20,16.00,†,19.00,17.70
MULESHOE H S,Texas,483189003547,4831890,6-Small town,6-Small town,6-Small town,6-Small town,†,412,437,428,394,393,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,204,217,216,187,10,10,11,6,198,210,201,201,33.00,33.00,†,34.00,29.30
MULLIN ELEMENTARY,Texas,483192003550,4831920,†,†,†,†,†,†,†,†,†,66,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,4.50
MULLIN MAIN,Texas,483192005557,4831920,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,116,113,114,113,61,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,9,7,15,11,="0",="0",="0",†,107,106,99,102,11.30,11.00,†,12.00,6.10
MULTI LINGUAL SCHOOL,Texas,483873005914,4838730,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.40"
MULTIPLE CAREERS MAGNET,Texas,481623006672,4816230,1-Large city,1-Large city,†,†,†,1,="0",†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,1,="0",†,†,="0",="0",†,†,="0",="0",†,†,12.20,12.00,†,†,†
MULTIPLE CAREERS MAGNET SCH,Texas,481623005449,4816230,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,5.90
MUMFORD EL,Texas,483195003551,4831950,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,57,42,58,55,56,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,35,23,33,31,17,15,20,19,5,4,5,5,6.00,6.00,†,6.00,4.70
MUNDAY EL,Texas,483197003552,4831970,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,276,247,234,241,250,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,126,100,91,94,30,32,28,28,120,115,115,119,16.60,17.00,†,15.00,12.80
MUNDAY SECONDARY,Texas,483197003553,4831970,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,195,196,196,178,171,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,53,59,58,46,12,14,11,16,129,123,127,116,16.10,16.00,†,18.00,13.00
MURCHISON EL,Texas,483201003555,4832010,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,137,132,147,151,148,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,4,4,3,3,="0",="0",="0",†,132,128,144,148,12.00,12.00,†,11.00,8.00
MURCHISON MIDDLE,Texas,480894000336,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1091,1033,1032,971,496,–,†,†,†,1,1,="0",2,30,25,22,21,326,310,329,297,126,133,134,139,608,564,547,512,59.40,59.00,†,53.00,42.70
MURFEE EL                                         ,Texas,482850003202,4828500,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,333,304,321,353,372,–,†,†,†,="0",="0",="0",†,2,5,6,4,16,8,7,7,57,29,25,28,258,262,283,314,17.00,17.00,†,18.00,17.70
MURIEL FORBES ACADEMY,Texas,483873004377,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,365,384,346,483,426,–,†,†,†,="0",="0",="0",†,="0",="0",="0",3,287,303,260,354,22,10,16,26,56,71,70,100,22.00,22.00,†,27.00,21.70
MURRY FLY EL,Texas,481800005705,4818000,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,722,680,759,781,816,–,†,†,†,1,1,2,2,="0",="0",="0",†,341,307,317,311,6,3,1,5,374,369,439,463,39.00,39.00,†,44.00,39.80
MYATT EL,Texas,481828006250,4818280,6-Small town,6-Small town,6-Small town,6-Small town,†,671,694,683,708,717,–,†,†,†,="0",="0",="0",1,1,2,1,3,284,291,277,293,94,110,115,121,292,291,290,290,33.20,33.00,†,36.00,19.10
MYRA GREEN MIDDLE,Texas,483654004095,4836540,6-Small town,6-Small town,6-Small town,6-Small town,†,752,719,742,739,744,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,690,653,676,665,8,7,4,4,53,59,62,70,45.60,46.00,†,46.00,48.50
MYRTLE COOPER EL,Texas,484071006326,4840710,1-Large city,1-Large city,1-Large city,1-Large city,†,1064,1073,861,649,639,–,†,†,†,="0",="0",="0",1,6,7,7,3,903,898,706,525,16,20,7,1,139,148,141,119,57.40,57.00,†,42.00,33.70
N A HOWRY INTERMEDIATE SCHOOL,Texas,482649002979,4826490,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,334,332,339,353,333,–,†,†,†,1,1,="0",†,4,6,4,2,75,64,72,90,8,7,13,12,246,254,250,249,22.10,22.00,†,22.00,21.10
N GARLAND H S,Texas,482034002036,4820340,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,2216,2233,2350,2464,2496,–,†,†,†,16,13,9,7,253,222,191,168,185,150,111,96,230,196,170,150,1532,1652,1869,2043,113.10,113.00,†,115.00,106.80
N W HARLLEE EL,Texas,481623001269,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,365,357,362,457,515,–,†,†,†,="0",="0",2,†,="0",="0",="0",†,48,30,30,54,314,321,326,391,3,6,4,12,29.50,29.00,†,29.00,21.90
NAAMAN FOREST H S,Texas,482034006552,4820340,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,1132,980,861,†,†,–,†,†,†,6,6,2,†,49,36,23,†,104,72,45,†,125,106,63,†,848,760,728,†,50.50,50.00,†,†,†
NACOGDOCHES BOYS RANCH,Texas,484632006633,4846320,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,21,18,15,†,†,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,3,="0",1,†,11,8,6,†,6,10,8,†,2.00,2.00,†,†,†
NACOGDOCHES H S,Texas,483209003561,4832090,5-Large town,5-Large town,5-Large town,5-Large town,†,1581,1574,1645,1711,1672,–,†,†,†,2,="0",="0",†,13,14,1,12,97,80,53,33,448,417,467,505,1021,1063,1124,1161,104.80,105.00,†,107.00,95.80
NANCY J COCHRAN EL,Texas,481623001237,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,633,623,638,642,585,–,†,†,†,1,1,2,5,36,44,58,57,259,213,227,241,306,335,298,263,31,30,53,76,45.40,45.00,†,28.00,28.50
NANCY MOSELEY EL,Texas,481623001320,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,480,451,464,542,580,–,†,†,†,7,7,9,7,="0",="0",1,1,114,98,124,149,13,19,77,91,346,327,253,294,28.10,28.00,†,27.00,26.90
NANCY SMITH EL,Texas,480768000055,4807680,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,327,325,328,325,342,–,†,†,†,1,1,="0",†,="0",="0",1,†,53,53,49,45,2,2,3,†,271,269,275,280,22.50,23.00,†,19.00,22.90
NANNY EL,Texas,483732004194,4837320,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,236,241,294,272,279,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,139,137,167,163,="0",="0",="0",†,97,104,127,109,18.30,18.00,†,22.00,22.00
NAPPER EL,Texas,483486003920,4834860,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,449,433,405,481,500,–,†,†,†,="0",="0",="0",†,="0",1,="0",†,448,426,398,472,="0",1,1,3,1,5,6,6,26.10,26.00,†,32.00,31.00
NASH EL,Texas,484248004850,4842480,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,264,249,251,256,332,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,3,2,2,2,25,29,32,30,236,218,217,224,16.00,16.00,†,16.00,25.10
NATALIA EL,Texas,483213003564,4832130,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,452,443,410,403,387,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,294,280,270,250,4,6,6,5,154,157,134,148,27.40,27.00,†,22.00,19.00
NATALIA H S,Texas,483213003565,4832130,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,195,202,203,221,217,–,†,†,†,1,="0",="0",†,="0",1,="0",†,122,121,125,140,1,3,2,2,71,77,76,79,13.80,14.00,†,15.00,14.30
NATALIA J H,Texas,483213003566,4832130,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,192,159,156,161,171,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,121,98,96,100,1,1,="0",1,70,60,60,60,11.00,11.00,†,12.00,9.80
NATHA HOWELL EL,Texas,481970001891,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,423,404,464,411,406,–,†,†,†,1,2,5,5,14,29,21,22,85,92,102,79,50,40,55,39,273,241,281,266,23.10,23.00,†,19.00,20.50
NATHAN ADAMS EL,Texas,481623006392,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,538,542,448,389,†,–,†,†,†,4,3,4,1,38,27,25,22,69,64,45,34,116,119,72,45,311,329,302,287,28.10,28.00,†,20.00,†
NATHANIEL HAWTHORNE EL,Texas,481623001272,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,418,430,386,408,389,–,†,†,†,2,2,2,1,2,1,1,†,118,107,81,74,141,141,128,145,155,179,174,188,30.40,30.00,†,18.00,20.90
NAVARRO ACHIEVEMENT CTR,Texas,483873006610,4838730,1-Large city,1-Large city,1-Large city,†,†,30,35,36,†,†,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,24,31,33,†,5,2,1,†,1,2,2,†,13.90,14.00,†,†,†
NAVARRO EARLY COLLEGE H S,Texas,480894000327,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1461,1450,1453,1547,1611,–,†,†,†,7,6,5,5,111,93,87,94,343,309,281,242,374,400,385,395,626,642,695,811,81.20,81.00,†,92.00,101.80
NAVARRO EL,Texas,482658006437,4826580,6-Small town,6-Small town,6-Small town,6-Small town,†,675,628,579,550,†,–,†,†,†,="0",="0",="0",†,="0",="0",1,†,433,403,351,349,70,54,48,48,172,171,179,153,38.00,38.00,†,31.00,†
NAVARRO EL,Texas,481179006519,4811790,2-Midsize city,2-Midsize city,2-Midsize city,†,†,417,526,506,†,†,–,†,†,†,="0",="0",1,†,1,2,3,†,102,111,87,†,109,107,91,†,286,306,324,†,31.40,31.00,†,†,†
NAVARRO EL,Texas,482967003327,4829670,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,429,348,409,377,315,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,428,346,408,377,="0",="0",="0",†,1,2,1,†,23.50,24.00,†,23.00,22.10
NAVARRO EL,Texas,482787003124,4827870,6-Small town,6-Small town,6-Small town,6-Small town,†,532,525,483,480,510,–,†,†,†,="0",="0",="0",†,="0",="0",="0",1,223,203,209,231,55,55,49,37,254,267,225,211,24.70,25.00,†,23.00,34.00
NAVARRO EL,Texas,483216003567,4832160,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,305,251,265,264,248,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,98,89,96,91,4,7,6,3,203,155,163,170,17.00,17.00,†,16.00,15.40
NAVARRO H S,Texas,483216003568,4832160,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,218,269,278,296,280,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,74,87,102,104,4,3,2,2,140,179,174,190,22.50,22.00,†,23.00,17.80
NAVARRO MIDDLE,Texas,482364002498,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,1585,1600,1663,1680,1768,–,†,†,†,="0",="0",="0",†,8,13,7,23,1483,1504,1585,1561,57,46,39,53,37,37,32,43,77.00,77.00,†,85.00,84.40
NAVARRO MIDDLE,Texas,482658002986,4826580,6-Small town,6-Small town,6-Small town,6-Small town,†,500,459,491,358,364,–,†,†,†,="0",="0",="0",†,1,3,1,†,237,229,263,248,50,49,46,56,212,178,181,54,22.30,22.00,†,19.00,30.70
NAVASOTA H S,Texas,483219003570,4832190,6-Small town,6-Small town,6-Small town,6-Small town,†,658,666,689,659,689,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,104,90,93,84,219,219,220,202,334,357,376,373,44.10,44.00,†,48.00,41.90
NAVASOTA J H,Texas,483219006019,4832190,6-Small town,6-Small town,6-Small town,6-Small town,†,915,893,827,562,565,–,†,†,†,="0",="0",="0",†,1,1,1,†,181,173,155,100,276,265,254,183,457,454,417,279,47.30,47.00,†,34.00,35.00
NAYER EL                                          ,Texas,480780000097,4807800,6-Small town,6-Small town,6-Small town,6-Small town,†,438,451,435,448,406,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,415,425,420,423,7,9,7,7,16,17,8,18,22.50,22.00,†,28.00,28.40
NAZARETH ELEMENTARY,Texas,483222003572,4832220,†,†,†,†,†,†,†,†,†,126,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,8.70
NAZARETH SCHOOL,Texas,483222003573,4832220,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,243,241,242,249,117,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,11,12,21,23,="0",="0",="0",†,250,229,221,226,46.00,21.00,†,22.00,12.50
NEAL ALTERNATIVE,Texas,481179006075,4811790,†,†,2-Midsize city,2-Midsize city,†,†,†,="0",4,22,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",4,†,†,†,4.00,4.10
NEAL EL,Texas,483873004378,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,511,510,467,478,490,–,†,†,†,="0",="0",1,†,="0",1,="0",†,471,451,415,433,4,5,8,5,36,53,43,40,30.00,30.00,†,25.00,23.70
NECHES EL,Texas,483225003574,4832250,6-Small town,6-Small town,6-Small town,6-Small town,†,142,115,117,127,104,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,3,="0",="0",1,16,20,21,25,123,95,96,101,10.10,10.00,†,9.00,8.00
NECHES H S,Texas,483225003575,4832250,6-Small town,6-Small town,6-Small town,6-Small town,†,113,95,105,114,118,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,2,1,1,1,20,17,18,24,91,77,86,89,11.70,12.00,†,13.00,11.30
NEDERLAND H S,Texas,483228003581,4832280,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,928,1275,1337,1433,1114,–,†,†,†,1,2,1,1,28,17,15,13,49,41,45,44,6,5,10,8,1224,1210,1266,1367,80.80,81.00,†,89.00,62.00
NEEDVILLE EL,Texas,483231003583,4832310,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,838,839,813,786,799,–,†,†,†,2,2,2,2,4,4,1,2,176,172,168,173,84,85,93,95,572,576,549,514,48.60,49.00,†,42.00,36.00
NEEDVILLE H S,Texas,483231003584,4832310,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,489,509,512,526,526,–,†,†,†,="0",="0",="0",†,1,="0",1,†,85,82,80,88,37,38,43,50,366,389,388,388,32.60,33.00,†,35.00,28.70
NEEDVILLE MIDDLE,Texas,483231005780,4832310,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,627,572,560,535,502,–,†,†,†,="0",="0",="0",†,="0",1,2,5,131,115,126,103,57,56,49,52,439,400,383,375,30.40,30.00,†,28.00,25.50
NEFF ECC,Texas,482364002541,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,755,709,652,598,590,–,†,†,†,="0",="0",="0",†,123,104,97,131,318,330,271,203,147,108,115,91,167,167,169,173,36.00,36.00,†,32.00,29.30
