Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
COTULLA ISD,Texas,4815400,LA SALLE,8,7,6,6,6,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1388,1330,1324,1330,1309,154,153,140,138,100,0,0,0,0,0,2,2,2,0,0,1185,1148,1131,1138,1115,10,0,0,0,0,191,180,192,192,194,7590000,7287000,7624000,9143000,6810000,6713000,5468,5479,5824,6517,5120,5128,34,5491
COUPLAND ISD,Texas,4815420,WILLIAMSON,1,1,1,1,1,3-Urban fringe of large city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,94,96,117,96,84,11,7,10,12,16,0,0,0,0,0,0,0,0,0,0,5,8,9,8,16,0,0,6,5,5,89,88,102,83,63,968000,756000,587000,929000,595000,507000,10298,7875,6988,9862,6083,6036,0,5585
COVINGTON ISD,Texas,4815480,HILL,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,303,288,264,265,214,49,35,27,39,32,1,2,2,2,1,0,0,0,0,0,27,12,15,13,13,1,0,0,0,0,274,274,247,250,200,2054000,1659000,1211000,1983000,1343000,1008000,6779,5760,5659,6498,4604,4710,0,4403
CRANDALL ISD,Texas,4815510,KAUFMAN,4,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1469,1456,1388,1280,1184,214,195,189,180,169,1,1,1,1,0,1,2,2,2,10,68,51,59,57,38,85,75,85,71,72,1314,1327,1242,1149,1064,9010000,7776000,5718000,10750000,11078000,4952000,6133,5341,4829,7318,7609,4182,20,4841
CRANE ISD,Texas,4815540,CRANE,3,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1191,1219,1292,1212,1388,246,218,168,154,156,3,0,0,0,0,0,0,0,1,1,564,562,589,530,605,53,53,57,54,48,571,604,646,627,734,14202000,16333000,9497000,8931000,8271000,7405000,11924,13399,6842,7499,6785,5335,0,6454
CRANFILLS GAP ISD,Texas,4815570,BOSQUE,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,157,132,133,154,131,32,25,26,15,18,0,0,0,0,0,0,0,0,0,0,23,22,18,15,11,1,0,0,0,0,133,110,116,139,120,1078000,966000,886000,1006000,840000,758000,6866,7318,6763,6395,6364,5786,0,6121
CRAWFORD ISD,Texas,4815600,MCLENNAN,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,519,495,473,452,435,61,63,61,61,58,1,0,1,0,0,0,0,0,0,0,51,43,36,39,34,8,8,7,7,10,459,444,429,406,389,3229000,2840000,2173000,2732000,2415000,1969000,6222,5737,4995,5245,4879,4526,0,4491
CROCKETT COUNTY CONSOLIDATED CSD,Texas,4815690,CROCKETT,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,965,952,936,960,905,86,80,73,74,76,0,0,0,0,0,3,3,3,2,1,578,571,581,602,562,6,6,5,6,5,378,372,353,350,337,10043000,9767000,4790000,9037000,6548000,5335000,10407,10259,5293,9365,6878,5895,5,6545
CROCKETT ISD,Texas,4815720,HOUSTON,5,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1934,1941,1874,1843,1820,299,278,237,187,151,2,1,0,1,1,4,5,7,7,8,140,120,110,116,102,1150,1138,1091,1029,1027,638,677,669,690,678,10500000,9744000,8040000,11448000,9601000,7186000,5429,5020,4418,5919,4946,3948,23,4988
CROSBY ISD,Texas,4815750,HARRIS,6,6,6,6,6,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3791,3694,3724,3756,3773,420,404,376,329,337,12,6,7,6,8,19,19,17,20,17,326,323,300,299,286,942,936,948,975,967,2492,2410,2486,2456,2472,20408000,20230000,17252000,18707000,18561000,14748000,5383,5476,4572,4869,4974,3909,0,4655
CROSBYTON CISD,Texas,4800001,CROSBY,5,5,4,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,581,578,617,611,612,94,90,113,135,131,0,0,0,0,0,2,2,1,1,2,324,313,331,322,324,45,44,48,44,41,210,219,237,244,245,5089000,3886000,3909000,4401000,3801000,3249000,8759,6723,6387,7575,6576,5309,0,6761
CROSS PLAINS ISD,Texas,4815810,CALLAHAN,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,442,443,454,465,447,63,67,75,69,58,0,0,0,0,0,0,0,0,0,0,14,12,10,11,13,0,0,0,0,0,428,431,444,454,433,2705000,2587000,2302000,3932000,2564000,1967000,6120,5840,5150,8896,5788,4400,0,5446
CROSS ROADS ISD,Texas,4815840,HENDERSON,4,4,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,596,546,539,529,512,117,106,99,96,90,4,3,7,0,0,5,7,5,3,3,11,9,7,5,3,4,3,4,6,6,572,524,516,515,500,4165000,3762000,2947000,4012000,3099000,2488000,6988,6890,5756,6706,5656,4859,0,4919
CROWELL ISD,Texas,4815870,FOARD,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,397,383,352,351,336,133,130,102,101,85,0,0,0,0,0,2,2,2,2,2,113,111,89,83,77,18,17,24,24,33,264,253,237,242,224,2756000,2493000,2048000,2731000,2561000,1979000,6942,6509,6095,6879,6687,5890,0,6421
CROWLEY ISD,Texas,4815910,TARRANT,9,9,8,8,8,1-Large city,1-Large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,7149,6758,6600,6296,6102,983,868,818,780,696,43,29,28,29,26,249,241,236,228,245,697,618,592,542,502,896,741,668,576,552,5264,5129,5076,4921,4764,39344000,33406000,26877000,44923000,41695000,27607000,5503,4943,4405,6284,6170,4524,11,4635
CRYSTAL CITY ISD,Texas,4815930,ZAVALA,5,5,6,5,5,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2026,2050,2137,2161,2125,174,176,198,212,208,2,2,0,0,0,0,0,0,0,0,1991,2019,2115,2139,2114,11,12,7,9,5,22,17,15,13,6,12424000,12101000,12429000,11534000,11984000,10028000,6132,5903,5849,5656,5806,4719,46,5442
CUERO ISD,Texas,4815960,DE WITT,6,6,6,6,6,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1991,1967,1928,1884,1908,296,304,285,281,292,1,0,1,1,0,4,4,5,3,1,710,709,678,662,670,322,327,336,315,316,954,927,910,903,913,13027000,11273000,9601000,12224000,11128000,10465000,6543,5731,5032,6140,5657,5485,36,5371
CULBERSON COUNTY-ALLAMOORE ISD,Texas,4815990,CULBERSON,3,4,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,794,784,815,836,846,78,78,63,52,67,2,0,0,0,0,5,3,5,6,6,628,620,635,647,665,0,0,0,0,3,159,164,175,183,165,5512000,5003000,4273000,5531000,4455000,4109000,6942,6381,5051,6966,5682,4857,24,6280
CUMBY ISD,Texas,4816020,HOPKINS,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,254,264,264,234,230,60,54,47,46,41,1,2,2,2,2,3,3,3,3,1,19,20,15,12,8,1,0,0,0,0,230,239,244,217,219,1764000,1489000,1193000,1441000,1883000,945000,6945,5640,5187,5646,7133,4109,0,5283
CUSHING ISD,Texas,4816080,NACOGDOCHES,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,543,541,513,462,457,87,75,82,55,44,1,1,1,2,2,0,0,0,0,1,18,18,20,12,13,45,45,44,36,40,479,477,448,412,401,2925000,2838000,2449000,2792000,2967000,2247000,5387,5246,5359,5142,5484,4917,0,4871
CYPRESS-FAIRBANKS ISD,Texas,4816110,HARRIS,49,48,47,46,40,1-Large city,1-Large city,1-Large city,1-Large city,1-Large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,50817,49364,48252,46341,43929,5576,5279,4907,4476,3568,86,84,99,95,101,3698,3510,3442,3219,3004,8342,7569,6912,6230,5567,4515,4212,3974,3759,3485,34176,33989,33956,33038,31593,289182000,272768000,210255000,284601000,273223000,250437000,5691,5526,4786,5599,5533,5701,9,4661
D'HANIS ISD,Texas,4816140,MEDINA,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,269,264,257,240,248,27,28,34,27,33,0,0,0,0,0,0,0,0,1,0,128,120,133,119,137,0,0,0,0,0,141,144,125,120,111,2006000,1695000,1481000,1515000,1931000,1309000,7457,6420,5972,5632,7314,5278,0,5253
DAINGERFIELD-LONE STAR ISD,Texas,4816180,MORRIS,5,5,5,5,5,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1888,1900,1913,1885,1958,295,277,282,261,262,6,7,6,6,6,1,1,2,4,5,79,62,51,42,45,666,678,646,645,667,1136,1152,1209,1188,1235,12530000,12462000,9651000,11265000,10459000,12379000,6637,6559,4929,5967,5504,6322,1,5757
DALHART ISD,Texas,4816200,DALLAM,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1563,1482,1502,1494,1498,282,244,230,199,173,6,5,8,0,0,10,8,8,6,6,431,415,363,348,334,38,39,49,47,37,1078,1015,1074,1093,1121,9708000,7920000,6655000,8134000,6823000,6391000,6211,5344,4443,5203,4596,4266,16,4951
DALLAS ISD,Texas,4816230,DALLAS,203,200,196,196,195,1-Large city,1-Large city,1-Large city,1-Large city,1-Large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,148839,145019,142652,139711,137746,13112,12382,11008,10598,9878,677,635,630,548,527,2482,2408,2502,2422,2357,64615,60168,56696,53314,50169,63363,63336,63335,62747,62686,17702,18472,19489,20680,21947,857052000,777547000,646189000,948110000,837814000,603851000,5758,5362,4691,6370,5777,4384,71,5146
DAMON ISD,Texas,4816260,BRAZORIA,1,1,1,1,1,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,6-Small town,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,154,165,151,158,155,17,14,13,13,2,0,0,0,0,0,0,1,0,0,0,35,35,32,36,36,0,0,0,0,1,119,129,119,122,118,1078000,1126000,811000,837000,891000,908000,7000,6824,5232,5435,5400,5858,0,5175
DANBURY ISD,Texas,4816290,BRAZORIA,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,689,653,640,620,606,67,64,62,58,51,2,0,0,0,0,2,2,2,3,4,91,86,90,89,84,8,8,7,5,11,586,557,541,523,507,4447000,3890000,3193000,4004000,3990000,2987000,6454,5957,5269,5800,6104,4929,0,5373
DARROUZETT ISD,Texas,4816320,LIPSCOMB,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,03-Elementary/secondary school system,38,35,41,45,61,7,7,7,9,7,0,0,0,0,0,0,0,0,0,0,1,3,3,1,2,0,0,0,0,0,37,32,38,44,59,1373000,1488000,793000,1192000,722000,791000,36132,42514,13000,31368,20629,12967,26,17632
DAWSON ISD,Texas,4816380,NAVARRO,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,490,483,486,449,425,63,64,59,58,51,0,0,2,0,2,2,2,2,0,0,40,34,25,18,15,66,74,75,77,72,382,373,382,354,336,3430000,2943000,2334000,3870000,2580000,1698000,7000,6093,5492,7898,5342,3995,0,5382
DAWSON ISD,Texas,4816350,DAWSON,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,198,181,171,171,157,42,38,34,38,35,0,0,0,0,0,0,0,0,0,0,95,87,88,88,94,0,0,0,0,0,103,94,83,83,61,2579000,2971000,1394000,2059000,1768000,1522000,13025,16414,8879,10399,9768,9694,0,8798
DAYTON ISD,Texas,4816410,LIBERTY,5,5,5,5,5,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3947,3817,3731,3602,3525,376,324,323,301,313,4,5,10,7,4,10,11,13,16,17,263,238,235,201,161,377,369,358,329,340,3293,3194,3122,3049,3000,16980000,16449000,14749000,16471000,15676000,12601000,4302,4309,4184,4158,4094,3575,0,3846
DE LEON ISD,Texas,4816440,COMANCHE,4,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,757,761,730,744,752,122,108,107,109,92,1,1,1,1,1,0,0,0,0,0,236,237,238,222,230,0,0,0,0,0,520,523,491,521,521,4382000,4108000,3420000,4290000,4652000,3183000,5789,5398,4548,5647,6100,4233,1,5497
DECATUR ISD,Texas,4816500,WISE,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2036,1899,1760,1738,1683,210,216,199,193,185,1,1,1,1,3,5,4,4,0,4,439,402,364,349,299,56,56,54,53,58,1535,1436,1341,1335,1315,11377000,10211000,9170000,12332000,9941000,12853000,5588,5377,5449,6057,5235,7637,0,5276
DEER PARK ISD,Texas,4816530,HARRIS,13,13,11,13,13,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,11352,11132,11024,10744,10573,732,693,663,711,665,29,35,39,37,32,199,200,195,177,155,2370,2191,2044,1887,1787,121,114,111,90,67,8633,8592,8635,8553,8529,112785000,103865000,54047000,109679000,62624000,60866000,9935,9330,5112,9651,5618,5757,3,5402
DEKALB ISD,Texas,4816570,BOWIE,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1045,1051,1068,1036,1002,150,158,143,141,132,1,1,2,0,0,2,12,0,0,0,18,16,20,19,17,344,319,336,362,343,680,703,710,655,642,6575000,5896000,4990000,9918000,5754000,4440000,6292,5610,4980,9491,5475,4431,0,5293
DEL VALLE ISD,Texas,4816620,TRAVIS,8,8,8,8,8,3-Urban fringe of large city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4745,4539,4625,5017,5099,649,592,590,572,547,31,21,19,16,20,61,62,65,83,94,2526,2328,2340,2249,2182,582,541,556,684,728,1545,1587,1647,1985,2072,32396000,28075000,23758000,32478000,29395000,23897000,6827,6185,4659,6832,6462,4687,14,6489
DELL CITY ISD,Texas,4816650,HUDSPETH,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,211,226,209,229,233,33,28,31,32,32,3,2,2,2,2,0,0,0,1,0,135,129,138,142,138,0,0,0,1,1,73,95,74,83,92,1944000,2348000,1594000,1930000,1962000,1573000,9213,10389,6841,9118,8673,6751,0,8318
DENISON ISD,Texas,4816710,GRAYSON,9,9,9,9,9,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4632,4665,4569,4576,4592,701,741,755,688,646,76,65,59,57,46,25,28,24,20,17,165,145,140,135,122,512,518,501,508,521,3854,3909,3845,3856,3886,26038000,23766000,20395000,22779000,21276000,18831000,5621,5095,4441,4913,4557,4101,0,4684
DENTON ISD,Texas,4816740,DENTON,17,17,16,15,14,2-Midsize city,2-Midsize city,5-Large town,5-Large town,5-Large town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,12035,11819,11626,11150,10925,1530,1392,1300,1227,1195,54,58,47,44,38,184,193,198,170,163,1770,1646,1505,1364,1269,1419,1409,1312,1210,1261,8608,8513,8564,8362,8179,70216000,65527000,50893000,68790000,62954000,55241000,5834,5544,4658,5716,5326,5056,1,4833
DENVER CITY ISD,Texas,4816770,YOAKUM,4,5,5,5,5,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1804,1864,1966,2020,2078,139,150,163,163,196,1,2,5,4,1,1,1,2,4,4,924,931,977,967,960,37,37,33,32,33,841,893,949,1013,1080,17579000,21113000,13751000,15244000,11342000,12684000,9744,11327,6617,8444,6078,6104,1,6385
DESOTO ISD,Texas,4816860,DALLAS,10,10,10,10,10,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,6558,6530,6584,6527,6220,673,655,705,600,514,9,16,16,19,21,83,77,98,102,84,490,466,439,428,338,2466,2214,1975,1758,1537,3510,3757,4056,4220,4240,36161000,33958000,27457000,44350000,30730000,23085000,5514,5200,4414,6756,4699,3711,0,4393
DETROIT ISD,Texas,4816890,RED RIVER,3,3,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,431,429,415,424,435,43,47,53,48,40,0,2,5,2,1,1,0,0,0,0,2,5,5,4,2,59,60,57,64,68,369,362,348,354,364,3216000,3046000,2207000,3202000,3105000,2243000,7462,7100,5074,7290,7114,5156,0,6845
DEVERS ISD,Texas,4816920,LIBERTY,2,2,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,130,126,99,106,99,9,8,5,0,0,0,0,0,0,0,0,1,0,6,7,26,20,15,12,12,28,26,20,19,22,76,79,64,69,58,1687000,1688000,1059000,1708000,1085000,805000,12977,13397,10697,13138,8611,8131,0,9508
DEVINE ISD,Texas,4816950,MEDINA,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1811,1772,1767,1691,1690,196,167,164,156,146,2,3,3,4,2,3,3,2,2,2,840,826,834,783,758,8,16,8,7,7,958,924,920,895,921,9887000,8570000,7340000,8392000,8507000,6734000,5459,4836,4343,4634,4799,3985,13,4437
DEW ISD,Texas,4816980,FREESTONE,1,1,1,1,1,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,77,72,63,62,58,8,9,7,6,7,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,7,3,3,5,72,64,59,58,50,535000,535000,404000,477000,424000,375000,6948,7431,6966,6195,5889,6466,0,5571
DEWEYVILLE ISD,Texas,4817010,NEWTON,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,766,750,696,679,658,149,115,104,75,83,2,3,4,3,2,0,1,0,0,0,6,4,6,4,2,0,0,0,0,0,758,742,686,672,654,4522000,4120000,3690000,3925000,3473000,3106000,5903,5493,5608,5124,4631,4720,0,4939
DIBOLL ISD,Texas,4817040,ANGELINA,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2046,2006,2048,1931,1965,276,279,283,255,240,1,2,2,1,1,3,3,0,2,2,778,775,764,732,758,384,364,384,352,366,880,862,898,844,836,11510000,12986000,9376000,12429000,12397000,8214000,5626,6474,4772,6075,6180,4180,4,5067
